spread,home spread odds,away spread odds,home team win odds,draw odds,away team win odds,date,team1,team2,team1Home,team1 final score,team 2 final score,label,Home goals,Away goals,Home Expected goals (xG),Away Expected goals (xG),Home Total shots,Away Total shots,Home Shots on target,Away Shots on target,Home Ball possession,Away Ball possession,Home Big chances,Away Big chances,Home Touches in opposition box,Away Touches in opposition box,Home goals against,Away goals against,Home Expected goals (xG) against,Away Expected goals (xG) against,Home Total shots against,Away Total shots against,Home Shots on target against,Away Shots on target against,Home Ball possession against,Away Ball possession against,Home Big chances against,Away Big chances against,Home Touches in opposition box against,Away Touches in opposition box against,Home Points Earned,Away Points Earned,Home Total shots average/goals average,Away Total shots average/goals average,Home Shots on target average/goals average,Away Shots on target average/goals average,Home Total shots against average/goals against average,Away Total shots against average/goals against average,Home Shots on target against average/goals against average,Away Shots on target against average/goals against average
-1,2.04,1.86,1.65,4.2,4.75,2024-11-30T15:00:00.000Z,9937,8197,True,4,1,2,1.2,1.452,11.8,3.4,53.2,2.2,25.6,2.2,1.678,15.4,4.8,46.8,2.8,28.0,0.8,0.102,0.353,0.143,0.458,1.8,1.626,10.8,4.2,48.0,2.8,19.6,1.8,1.558,20.4,7.2,52.0,2.4,35.6,1.4,0.167,0.429,0.088,0.25
0.25,1.95,1.95,2.9,3.6,2.3,2024-11-30T15:00:00.000Z,9826,10261,True,1,1,1,1.0,1.538,15.2,4.2,51.0,2.4,31.8,1.2,1.044,12.2,4.4,49.0,1.6,21.6,1.2,0.066,0.238,0.098,0.273,1.0,1.408,15.8,6.2,38.6,2.6,21.6,1.4,1.794,15.2,5.4,61.4,3.2,32.2,1.0,0.063,0.161,0.092,0.259
-0.75,1.91,1.99,1.7,3.8,4.75,2024-11-30T15:00:00.000Z,9902,10203,False,0,1,0,1.4,1.352,11.4,3.6,41.2,3.0,20.8,1.8,1.948,15.8,6.4,58.8,3.6,30.0,1.0,0.123,0.389,0.114,0.281,1.6,1.324,15.0,4.0,43.4,2.4,25.8,1.4,0.95,14.2,4.6,56.6,0.8,28.0,1.8,0.107,0.4,0.099,0.304
-0.25,1.95,1.98,2.63,3.75,2.45,2024-12-05T20:15:00.000Z,8678,8586,True,1,0,2,2.0,1.604,12.2,4.8,55.2,3.0,23.2,1.0,1.596,14.2,4.2,44.8,3.2,28.2,1.4,0.164,0.417,0.07,0.238,2.0,1.976,13.6,5.0,44.4,3.4,26.6,1.8,1.25,12.8,5.0,55.6,2.4,28.4,1.4,0.147,0.4,0.141,0.36
0.5,1.95,1.95,3.5,3.75,2,2024-12-08T14:00:00.000Z,8678,9902,False,2,1,2,2.0,2.656,15.8,6.0,42.6,4.8,28.8,1.6,1.062,11.6,4.2,57.4,2.0,26.6,1.8,0.127,0.333,0.138,0.381,0.8,1.058,9.8,3.2,45.0,2.0,18.4,1.0,1.444,14.6,4.6,55.0,2.6,28.0,1.0,0.082,0.25,0.068,0.217
1,1.75,2.05,5,4.33,1.6,2024-12-08T14:00:00.000Z,9825,9879,False,1,1,1,2.2,1.91,14.4,4.8,58.2,3.2,33.2,0.8,0.83,10.0,2.8,41.8,0.8,15.2,2.0,0.153,0.458,0.08,0.286,1.8,1.288,14.6,6.0,56.6,1.8,31.8,1.4,1.136,9.8,3.6,43.4,2.4,17.0,2.0,0.123,0.3,0.143,0.389
0.75,2.06,1.84,4.5,3.8,1.73,2024-12-08T14:00:00.000Z,10204,8197,False,2,2,1,1.4,1.478,12.8,4.2,49.0,3.4,24.6,1.6,1.432,13.2,4.6,51.0,3.0,27.6,1.4,0.109,0.333,0.121,0.348,1.2,1.204,9.0,4.2,44.6,2.8,19.0,2.2,2.002,17.4,5.6,55.4,3.2,33.6,0.8,0.133,0.286,0.126,0.393
-0.75,1.99,1.91,1.7,4,4.75,2024-12-16T20:00:00.000Z,8678,8654,True,1,1,1,1.4,1.45,17.6,6.2,50.2,2.0,29.8,1.8,1.898,15.8,4.8,49.8,3.2,28.4,1.4,0.08,0.226,0.114,0.375,2.0,2.904,17.8,6.0,46.8,4.6,32.4,1.6,1.014,11.6,4.4,53.2,1.6,23.2,1.8,0.112,0.333,0.138,0.364
-0.5,1.86,2.07,1.8,3.8,4.2,2024-12-22T14:00:00.000Z,8678,10260,False,3,0,2,1.8,2.784,20.6,7.2,47.4,4.4,33.6,1.2,1.13,12.4,3.8,52.6,1.4,22.2,2.0,0.087,0.25,0.097,0.316,1.8,1.154,10.8,4.2,57.8,2.0,19.4,1.4,1.222,10.8,4.0,42.2,1.8,18.8,1.4,0.167,0.429,0.13,0.35
0.75,2.04,1.89,5,4.2,1.62,2024-12-22T14:00:00.000Z,8455,8668,False,0,0,1,3.2,2.986,20.4,8.8,61.2,5.0,43.8,1.2,1.682,8.4,3.6,38.8,3.4,18.2,3.0,0.157,0.364,0.143,0.333,0.8,0.8,13.6,3.0,43.4,0.8,20.6,0.8,1.0,10.0,4.0,56.6,2.0,24.0,1.2,0.059,0.267,0.08,0.2
-1,2.05,1.88,1.42,4.75,7,2024-12-22T14:00:00.000Z,9879,8466,True,0,0,1,0.8,1.004,7.2,2.8,45.2,2.2,19.4,3.0,2.998,22.2,8.6,54.8,6.6,42.8,0.2,0.111,0.286,0.135,0.349,1.6,0.928,8.8,3.2,44.8,1.2,19.6,1.8,1.546,11.8,3.8,55.2,2.8,26.2,1.2,0.182,0.5,0.153,0.474
0.25,1.85,2.08,2.55,3.4,2.7,2024-12-22T14:00:00.000Z,8197,8602,True,0,3,0,1.6,1.06,12.2,4.2,51.4,1.8,21.2,2.6,1.502,12.8,4.8,48.6,2.0,26.0,0.6,0.131,0.381,0.203,0.542,1.4,1.068,6.6,2.8,42.4,2.4,14.4,2.6,2.716,20.6,8.2,57.6,3.6,40.6,0.8,0.212,0.5,0.126,0.317
-0.25,1.85,2.08,1.9,3.8,3.8,2024-12-26T15:00:00.000Z,8678,9826,True,0,0,1,1.6,1.728,13.8,4.2,40.8,3.4,20.4,1.8,1.17,10.6,3.4,59.2,2.0,25.4,1.6,0.116,0.381,0.17,0.529,2.2,2.784,18.8,7.2,44.4,4.0,28.6,0.8,1.398,15.8,4.4,55.6,1.8,28.4,2.6,0.117,0.306,0.051,0.182
