index,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,AHCh,B365CAHH,B365CAHA
232,10/02/2024,Tottenham,Brighton,2,1,1.8,4.2,3.8,-0.75,1.92,2.01
233,10/02/2024,Wolves,Brentford,0,2,2.1,3.6,3.4,-0.25,1.94,1.99
234,10/02/2024,Nott'm Forest,Newcastle,2,3,3.3,3.75,2.05,0.25,2.04,1.89
235,11/02/2024,West Ham,Arsenal,0,6,6,4.33,1.53,1,1.95,1.98
236,11/02/2024,Aston Villa,Man United,1,2,2.15,3.75,3.1,-0.25,1.9,2.03
237,12/02/2024,Crystal Palace,Chelsea,1,3,4.2,3.8,1.85,0.75,1.95,1.98
238,17/02/2024,Brentford,Liverpool,1,4,5.5,4.33,1.57,1,1.75,2.05
239,17/02/2024,Burnley,Arsenal,0,5,10,5.75,1.29,1.5,2.03,1.78
240,17/02/2024,Fulham,Aston Villa,1,2,2.9,3.75,2.2,0.25,1.91,1.99
241,17/02/2024,Newcastle,Bournemouth,2,2,1.83,4.2,3.75,-0.5,2.02,1.88
242,17/02/2024,Nott'm Forest,West Ham,2,0,2.38,3.5,2.9,-0.25,1.97,1.93
243,17/02/2024,Tottenham,Wolves,1,2,1.53,4.75,5.25,-1,1.75,2.05
244,17/02/2024,Man City,Chelsea,1,1,1.33,5.5,8,-1.5,1.87,2.03
245,18/02/2024,Sheffield United,Brighton,0,5,5,4.2,1.62,0.75,2.07,1.86
246,18/02/2024,Luton,Man United,1,2,4,4,1.8,0.75,1.9,2.03
247,19/02/2024,Everton,Crystal Palace,1,1,1.7,3.6,5.25,-0.75,2.05,1.75
248,20/02/2024,Man City,Brentford,1,0,1.18,8,13,-2,1.9,2.03
249,21/02/2024,Liverpool,Luton,4,1,1.2,7,13,-1.75,2.01,1.89
250,24/02/2024,Aston Villa,Nott'm Forest,4,2,1.53,4.5,5.75,-1,1.99,1.91
251,24/02/2024,Brighton,Everton,1,1,1.83,3.8,4.2,-0.5,1.85,2.05
252,24/02/2024,Crystal Palace,Burnley,3,0,1.95,3.5,4,-0.5,1.98,1.92
253,24/02/2024,Man United,Fulham,1,2,1.57,4.33,5.5,-0.75,1.75,2.05
254,24/02/2024,Bournemouth,Man City,0,1,7,5.25,1.4,1.25,1.92,1.98
255,24/02/2024,Arsenal,Newcastle,4,1,1.36,5.25,8,-1.5,2.01,1.89
256,25/02/2024,Wolves,Sheffield United,1,0,1.44,4.75,7,-1,1.73,2.08
257,26/02/2024,West Ham,Brentford,4,2,2.5,3.5,2.75,-0.25,2.01,1.89
258,02/03/2024,Brentford,Chelsea,2,2,3.1,3.75,2.15,0.25,2,1.9
259,02/03/2024,Everton,West Ham,1,3,2.05,3.6,3.5,-0.25,1.85,2.05
260,02/03/2024,Fulham,Brighton,3,0,2.55,3.6,2.63,0,1.87,2.03
261,02/03/2024,Newcastle,Wolves,3,0,1.91,4,3.6,-0.75,1.91,1.99
262,02/03/2024,Nott'm Forest,Liverpool,0,1,6,4.33,1.53,1,1.9,2
263,02/03/2024,Tottenham,Crystal Palace,3,1,1.5,4.33,6.5,-1,1.87,2.03
264,02/03/2024,Luton,Aston Villa,2,3,4.33,4.2,1.73,0.75,2.02,1.88
265,03/03/2024,Burnley,Bournemouth,0,2,3.75,3.6,1.95,0.5,1.9,2
